84	5.4	3.0	4.5	1.5	Iris-versicolor
22	4.6	3.6	1.0	0.2	Iris-setosa
13	4.3	3.0	1.1	0.1	Iris-setosa
105	7.6	3.0	6.6	2.1	Iris-virginica
91	6.1	3.0	4.6	1.4	Iris-versicolor
44	5.1	3.8	1.9	0.4	Iris-setosa
60	5.0	2.0	3.5	1.0	Iris-versicolor
36	5.5	3.5	1.3	0.2	Iris-setosa
1	4.9	3.0	1.4	0.2	Iris-setosa
78	6.0	2.9	4.5	1.5	Iris-versicolor
42	4.4	3.2	1.3	0.2	Iris-setosa
14	5.8	4.0	1.2	0.2	Iris-setosa
17	5.1	3.5	1.4	0.3	Iris-setosa
81	5.5	2.4	3.7	1.0	Iris-versicolor
10	5.4	3.7	1.5	0.2	Iris-setosa
7	5.0	3.4	1.5	0.2	Iris-setosa
97	6.2	2.9	4.3	1.3	Iris-versicolor
89	5.5	2.5	4.0	1.3	Iris-versicolor
25	5.0	3.0	1.6	0.2	Iris-setosa
106	4.9	2.5	4.5	1.7	Iris-virginica
27	5.2	3.5	1.5	0.2	Iris-setosa
71	6.1	2.8	4.0	1.3	Iris-versicolor
9	4.9	3.1	1.5	0.1	Iris-setosa
145	6.7	3.0	5.2	2.3	Iris-virginica
43	5.0	3.5	1.6	0.6	Iris-setosa
90	5.5	2.6	4.4	1.2	Iris-versicolor
11	4.8	3.4	1.6	0.2	Iris-setosa
75	6.6	3.0	4.4	1.4	Iris-versicolor
34	4.9	3.1	1.5	0.1	Iris-setosa
79	5.7	2.6	3.5	1.0	Iris-versicolor
148	6.2	3.4	5.4	2.3	Iris-virginica
143	6.8	3.2	5.9	2.3	Iris-virginica
116	6.5	3.0	5.5	1.8	Iris-virginica
33	5.5	4.2	1.4	0.2	Iris-setosa
26	5.0	3.4	1.6	0.4	Iris-setosa
82	5.8	2.7	3.9	1.2	Iris-versicolor
41	4.5	2.3	1.3	0.3	Iris-setosa
4	5.0	3.6	1.4	0.2	Iris-setosa
19	5.1	3.8	1.5	0.3	Iris-setosa
69	5.6	2.5	3.9	1.1	Iris-versicolor
133	6.3	2.8	5.1	1.5	Iris-virginica
59	5.2	2.7	3.9	1.4	Iris-versicolor
108	6.7	2.5	5.8	1.8	Iris-virginica
141	6.9	3.1	5.1	2.3	Iris-virginica
57	4.9	2.4	3.3	1.0	Iris-versicolor
18	5.7	3.8	1.7	0.3	Iris-setosa
16	5.4	3.9	1.3	0.4	Iris-setosa
67	5.8	2.7	4.1	1.0	Iris-versicolor
24	4.8	3.4	1.9	0.2	Iris-setosa
86	6.7	3.1	4.7	1.5	Iris-versicolor
50	7.0	3.2	4.7	1.4	Iris-versicolor
113	5.7	2.5	5.0	2.0	Iris-virginica
35	5.0	3.2	1.2	0.2	Iris-setosa
104	6.5	3.0	5.8	2.2	Iris-virginica
140	6.7	3.1	5.6	2.4	Iris-virginica
77	6.7	3.0	5.0	1.7	Iris-versicolor
87	6.3	2.3	4.4	1.3	Iris-versicolor
94	5.6	2.7	4.2	1.3	Iris-versicolor
100	6.3	3.3	6.0	2.5	Iris-virginica
74	6.4	2.9	4.3	1.3	Iris-versicolor
63	6.1	2.9	4.7	1.4	Iris-versicolor
37	4.9	3.1	1.5	0.1	Iris-setosa
111	6.4	2.7	5.3	1.9	Iris-virginica
139	6.9	3.1	5.4	2.1	Iris-virginica
0	5.1	3.5	1.4	0.2	Iris-setosa
20	5.4	3.4	1.7	0.2	Iris-setosa
146	6.3	2.5	5.0	1.9	Iris-virginica
64	5.6	2.9	3.6	1.3	Iris-versicolor
92	5.8	2.6	4.0	1.2	Iris-versicolor
28	5.2	3.4	1.4	0.2	Iris-setosa
31	5.4	3.4	1.5	0.4	Iris-setosa
46	5.1	3.8	1.6	0.2	Iris-setosa
136	6.3	3.4	5.6	2.4	Iris-virginica
115	6.4	3.2	5.3	2.3	Iris-virginica
58	6.6	2.9	4.6	1.3	Iris-versicolor
107	7.3	2.9	6.3	1.8	Iris-virginica
68	6.2	2.2	4.5	1.5	Iris-versicolor
117	7.7	3.8	6.7	2.2	Iris-virginica
38	4.4	3.0	1.3	0.2	Iris-setosa
29	4.7	3.2	1.6	0.2	Iris-setosa
65	6.7	3.1	4.4	1.4	Iris-versicolor
15	5.7	4.4	1.5	0.4	Iris-setosa
122	7.7	2.8	6.7	2.0	Iris-virginica
80	5.5	2.4	3.8	1.1	Iris-versicolor
54	6.5	2.8	4.6	1.5	Iris-versicolor
52	6.9	3.1	4.9	1.5	Iris-versicolor
142	5.8	2.7	5.1	1.9	Iris-virginica
137	6.4	3.1	5.5	1.8	Iris-virginica
134	6.1	2.6	5.6	1.4	Iris-virginica
12	4.8	3.0	1.4	0.1	Iris-setosa
6	4.6	3.4	1.4	0.3	Iris-setosa
112	6.8	3.0	5.5	2.1	Iris-virginica
66	5.6	3.0	4.5	1.5	Iris-versicolor
88	5.6	3.0	4.1	1.3	Iris-versicolor
45	4.8	3.0	1.4	0.3	Iris-setosa
121	5.6	2.8	4.9	2.0	Iris-virginica
120	6.9	3.2	5.7	2.3	Iris-virginica
119	6.0	2.2	5.0	1.5	Iris-virginica
8	4.4	2.9	1.4	0.2	Iris-setosa
62	6.0	2.2	4.0	1.0	Iris-versicolor
132	6.4	2.8	5.6	2.2	Iris-virginica
130	7.4	2.8	6.1	1.9	Iris-virginica
49	5.0	3.3	1.4	0.2	Iris-setosa
109	7.2	3.6	6.1	2.5	Iris-virginica
126	6.2	2.8	4.8	1.8	Iris-virginica
127	6.1	3.0	4.9	1.8	Iris-virginica
93	5.0	2.3	3.3	1.0	Iris-versicolor
128	6.4	2.8	5.6	2.1	Iris-virginica
73	6.1	2.8	4.7	1.2	Iris-versicolor
3	4.6	3.1	1.5	0.2	Iris-setosa
110	6.5	3.2	5.1	2.0	Iris-virginica
55	5.7	2.8	4.5	1.3	Iris-versicolor
95	5.7	3.0	4.2	1.2	Iris-versicolor
48	5.3	3.7	1.5	0.2	Iris-setosa
98	5.1	2.5	3.0	1.1	Iris-versicolor
5	5.4	3.9	1.7	0.4	Iris-setosa
114	5.8	2.8	5.1	2.4	Iris-virginica
118	7.7	2.6	6.9	2.3	Iris-virginica
70	5.9	3.2	4.8	1.8	Iris-versicolor
32	5.2	4.1	1.5	0.1	Iris-setosa
